Rank,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h)
174,Sonic,$0.04425,0.21%,0.28%,3.97%,$127.45M,"$16,171,407"
175,ApeCoin,$0.1677,0.53%,2.72%,19.15%,$126.28M,"$50,095,587"
176,Bio Protocol,$0.05825,0.54%,1.67%,99.16%,$125.69M,"$322,447,749"
177,Fluid,$1.59,0.48%,0.77%,7.12%,$124.67M,"$2,423,263"
178,Cheems (cheems.pet),$0.066539,2.01%,6.17%,12.73%,$122.61M,"$2,452,598"
179,MultiversX,$4.08,0.17%,0.62%,3.53%,$121.85M,"$5,049,077"
180,dYdX,$0.1453,0.82%,1.18%,6.77%,$122.01M,"$9,143,175"
181,Sentient,$0.01672,0.16%,1.68%,9.33%,$121.07M,"$18,226,262"
182,USD.AI,$0.06004,0.75%,2.06%,19.06%,$120.09M,"$185,973,952"
183,River,$6.09,0.58%,5.42%,7.49%,$119.55M,"$43,879,042"
184,KAITO,$0.4908,1.15%,3.85%,16.42%,$118.49M,"$9,108,773"
185,Reserve Rights,$0.001877,0.93%,4.88%,1.68%,$117.43M,"$10,791,456"
186,Aethir,$0.006078,1.10%,2.87%,3.41%,$117M,"$151,306,925"
187,Orca,$1.92,0.91%,7.01%,16.94%,$117.16M,"$93,703,768"
188,Four,$0.3039,0.46%,7.45%,18.75%,$116.08M,"$12,913,433"
189,0G,$0.5371,0.53%,0.52%,1.27%,$114.55M,"$11,692,093"
190,ORDI,$5.32,2.80%,5.17%,24.40%,$111.88M,"$108,839,456"
191,WEMIX,$0.2405,0.26%,2.00%,0.62%,$111.19M,"$1,069,235"
192,AWE,$0.05685,0.95%,2.60%,1.06%,$110.44M,"$5,035,953"
193,Synthetix,$0.3173,0.20%,0.17%,2.46%,$109.34M,"$13,235,498"
194,Livepeer,$2.14,0.38%,0.38%,0.31%,$106.59M,"$12,204,656"
195,CoW Protocol,$0.1897,0.18%,1.02%,0.19%,$105.82M,"$3,796,066"
196,Safe,$0.1418,0.20%,2.35%,1.99%,$105.04M,"$3,376,243"
197,Gas,$1.61,0.16%,0.78%,3.02%,$104.97M,"$3,088,461"
198,Axelar,$0.08917,1.00%,21.69%,59.88%,$103.76M,"$78,482,269"
199,Irys,$0.04085,0.06%,5.58%,21.85%,$104.87M,"$8,167,782"
200,Official Melania Meme,$0.1033,0.32%,0.14%,6.60%,$103.35M,"$20,529,011"
